iter	Logloss
0	0.5383784103
1	0.4221811663
2	0.3359084293
3	0.270316774
4	0.2211162394
5	0.1833587792
6	0.155566487
7	0.1372778952
8	0.1183769584
9	0.104296073
10	0.0939421564
11	0.08631265288
12	0.07930995363
13	0.07323610934
14	0.06610245446
15	0.06115731102
16	0.05759214188
17	0.05278952442
18	0.04965576315
19	0.04596843456
20	0.04295891931
21	0.0406452247
22	0.0381194302
23	0.03641566161
24	0.03448295925
25	0.03279631752
26	0.03109360523
27	0.02909378358
28	0.02804276732
29	0.02710082785
30	0.02566544536
31	0.02479454118
32	0.02409969261
33	0.02296512314
34	0.02216508985
35	0.02153955337
36	0.02090769048
37	0.02005019035
38	0.01931003088
39	0.01881648373
40	0.01830293097
41	0.01791361741
42	0.01740323813
43	0.01708839742
44	0.01647416488
45	0.01628053171
46	0.01599652358
47	0.01570645195
48	0.01535949549
49	0.01507652684
50	0.01469873782
51	0.01451792655
52	0.01422257531
53	0.01384394112
54	0.01366254786
55	0.01343127502
56	0.01302318367
57	0.01285161813
58	0.01264763977
59	0.01235281529
60	0.01217724518
61	0.0119580318
62	0.01181752629
63	0.0117517122
64	0.0116468231
65	0.01136141985
66	0.01114846096
67	0.0109658566
68	0.01080448321
69	0.01054379424
70	0.01040653449
71	0.01024440895
72	0.01008328831
73	0.009891304074
74	0.009811495607
75	0.009671027716
76	0.009592783221
77	0.00944146257
78	0.009319514513
79	0.009219036019
80	0.009109787142
81	0.009058014223
82	0.008976598727
83	0.008886514932
84	0.008776749446
85	0.008668258607
86	0.008555641933
87	0.008459372742
88	0.008390442034
89	0.00835480217
90	0.008282418908
91	0.008174133416
92	0.008151024064
93	0.008101210426
94	0.008074255755
95	0.008012897444
96	0.00795058205
97	0.007886698978
98	0.007825424082
99	0.007772550038
100	0.007748060728
101	0.007673624055
102	0.007455558701
103	0.0073981934
104	0.007357779899
105	0.007298164333
106	0.007278820192
107	0.007251708894
108	0.00723142283
109	0.007195964358
110	0.007146901545
111	0.007096617657
112	0.007080449775
113	0.007050629019
114	0.007012668792
115	0.006974189669
116	0.006945704401
117	0.006912234885
118	0.006880214013
119	0.006860824758
120	0.006840144686
121	0.006814936223
122	0.006788454626
123	0.006766086659
124	0.006749315244
125	0.006735002749
126	0.006711462427
127	0.00669320986
128	0.00667440267
129	0.006644722646
130	0.006632260751
131	0.006616446892
132	0.006597356078
133	0.006573388525
134	0.006546280227
135	0.006533092032
136	0.006519623011
137	0.006504833449
138	0.006489164065
139	0.006470670146
140	0.006459298892
141	0.006446240149
142	0.006432170739
143	0.006423907768
144	0.006408141172
145	0.006379229634
146	0.006367724548
147	0.006357773461
148	0.006347490234
149	0.006336780242
150	0.006319760356
151	0.006299935124
152	0.006283144916
153	0.006273412657
154	0.006262065564
155	0.00624865456
156	0.006236266955
157	0.006226634153
158	0.00621091894
159	0.006195335104
160	0.006184212484
161	0.006172820376
162	0.006153243259
163	0.006141703696
164	0.006138396858
165	0.006125833787
166	0.006116607236
167	0.006091141414
168	0.006083482156
169	0.006074654768
170	0.006069588102
171	0.006061711944
172	0.006056596036
173	0.006036691191
174	0.006026385624
175	0.00601965425
176	0.006008488981
177	0.005988668097
178	0.005980132247
179	0.005975893559
180	0.005965571531
181	0.00596555865
182	0.00596555865
183	0.005961356695
184	0.005961356695
185	0.005942807361
186	0.005930369382
187	0.005930365684
188	0.005923134194
189	0.005923129327
190	0.005909811739
191	0.005904934397
192	0.005904934397
193	0.005893312692
194	0.00587772245
195	0.005867788056
196	0.005852738138
197	0.005842714761
198	0.005835436829
199	0.005820328094
200	0.005814188705
201	0.00579832919
202	0.005794177287
203	0.005787801624
204	0.005781136506
205	0.005774698904
206	0.005765927003
207	0.005759971798
208	0.005759939567
209	0.005756992483
210	0.005749441606
211	0.005743479622
212	0.005737738685
213	0.005728919406
214	0.005714541019
215	0.005699747373
216	0.005688646254
217	0.005683986674
218	0.005678017834
219	0.00566932815
220	0.005661067613
221	0.005649420758
222	0.005640199619
223	0.005634074694
224	0.00562441535
225	0.005615943006
226	0.005607995226
227	0.005602956204
228	0.005597918095
229	0.005597902322
230	0.005593153339
231	0.005583859179
232	0.00556649027
233	0.005559060433
234	0.005551036942
235	0.00554147086
236	0.005537123488
237	0.005532245698
238	0.005532245698
239	0.00553220881
240	0.005524281124
241	0.005524279654
242	0.005519725188
243	0.005513055285
244	0.005513055285
245	0.005505321528
246	0.005496068023
247	0.005488935944
248	0.005480243993
249	0.005480218978
250	0.005473778725
251	0.005473747161
252	0.005469687062
253	0.005469687062
254	0.005469665012
255	0.005462282142
256	0.005453140531
257	0.005444576655
258	0.005444576655
259	0.005444584591
260	0.005444569577
261	0.005444558562
262	0.005444558562
263	0.005441469791
264	0.0054349958
265	0.005434988551
266	0.005434988684
267	0.005434981802
268	0.005434980898
269	0.005430766188
270	0.005430766188
271	0.005430775174
272	0.005430755141
273	0.005430755141
274	0.005430763684
275	0.005430754097
276	0.005430742148
277	0.005430746112
278	0.005430734331
279	0.005430726042
280	0.005430706058
281	0.00543071811
282	0.00543070558
283	0.005430697648
284	0.005430687116
285	0.005430677874
286	0.005430677874
287	0.005430677874
288	0.005430677874
289	0.005430677874
290	0.005430677874
291	0.005430677874
292	0.005430677874
293	0.005430677874
294	0.005430677874
295	0.005430677874
296	0.005430677874
297	0.005430677874
298	0.005430677874
299	0.005430677874
